feature,mean_abs_shap
cat__dns_query_sb.l.google.com,0.0
cat__dns_query_sb.scorecardresearch.com,0.0
cat__dns_query_sc.iasds01.com,0.0
cat__dns_query_pri.authdns.ripe.net,0.0
cat__dns_query_prebid.adnxs.com,0.0
cat__dns_query_poyesueamma,0.0
cat__dns_query_platform.twitter.com,0.0
cat__dns_query_ocsp.trustwave.com,0.0
cat__dns_query_olympia.prod.mozaws.net,0.0
cat__dns_query_oneclient.sfx.ms,0.0
cat__dns_query_oneclient.sfx.ms.edgekey.net,0.0
cat__dns_query_onecollector.cloudapp.aria.akadns.net,0.0
cat__dns_query_onenote.net,0.0
cat__dns_query_openx2-match.dotomi.com,0.0
cat__dns_query_org,0.0
cat__dns_query_p.adsymptotic.com,0.0
cat__dns_query_p.rfihub.com,0.0
cat__dns_query_packages.dmd.metaservices.microsoft.com,0.0
cat__dns_query_pagead2.googlesyndication.com,0.0
cat__dns_query_paowmflm-3.t.nessus.org,0.0
cat__dns_query_pat.ns.cloudflare.com,0.0
cat__dns_query_pdns1.ultradns.net,0.0
cat__dns_query_pdns196.ultradns.biz,0.0
cat__dns_query_pdns3.ultradns.org,0.0
cat__dns_query_pdns5.ultradns.info,0.0
cat__dns_query_pdns6.ultradns.co.uk,0.0
cat__dns_query_pipeline-edge-prod-25-561439127.us-west-2.elb.amazonaws.com,0.0
cat__dns_query_pippio.com,0.0
cat__dns_query_pixel.mathtag.com,0.0
cat__dns_query_pixel.wp.com,0.0
cat__dns_query_wd-prod-ss-us.trafficmanager.net,0.0
cat__dns_query_www.npmjs.com,0.0
cat__dns_query_wildcard.weather.microsoft.com.edgekey.net,0.0
cat__http_uri_/ubuntu/dists/cosmic-security/InRelease,0.0
cat__http_uri_/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?6ac6637505baff94,0.0
cat__http_uri_/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?e793f3590addb8f9,0.0
cat__http_uri_/msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?9fd0fd9b8b472c10,0.0
cat__http_uri_/msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?be7e9b28fd9108dd,0.0
cat__http_uri_/no_nonce_string/,0.0
cat__http_uri_/no_nonce_string/ContentDirectory/scpd.xml,0.0
cat__http_uri_/nservice/,0.0
cat__http_uri_/ozblX3bYcm/wps_device.xml,0.0
cat__http_uri_/prod/9/9842fdea-4798-4143-b181-565964f5d454.devicemetadata-ms,0.0
cat__http_uri_/success.txt,0.0
cat__http_uri_/ubuntu/dists/cosmic/InRelease,0.0
cat__http_uri_/manual/da/index.html,0.0
cat__http_uri_/ubuntu/pool/main/l/linux/linux-modules-4.18.0-17-generic_4.18.0-17.18_amd64.deb,0.0
cat__http_uri_/upnp/control/ConnectionManager1,0.0
cat__http_uri_/webmail/,0.0
cat__http_uri_/webmail/src/login.php,0.0
cat__http_version_-,0.0
cat__http_version_1.1,0.0
cat__http_user_agent_-,0.0
cat__http_user_agent_DAFUPnP,0.0
cat__http_user_agent_DataCha0s/2.0,0.0
cat__http_user_agent_Debian APT-HTTP/1.3 (1.7.4),0.0
cat__http_uri_/manual/zh-cn/index.html,0.0
cat__http_uri_/manual,0.0
cat__http_user_agent_MICROSOFT_DEVICE_METADATA_RETRIEVAL_CLIENT,0.0
cat__http_uri_/dvwa/login.php-r,0.0
cat__http_uri_/d/msdownload/update/others/2019/04/28705119_64903d90c2dc70d69d1761a1def01e53afc62152.cab,0.0
cat__http_uri_/d/msdownload/update/others/2019/04/28705557_9ba1d575e6cd6d2b7b36b86feeed56ce3c5dc641.cab,0.0
cat__http_uri_/d/msdownload/update/others/2019/04/28705674_3a0fee5605048bd196f34826b10c68f2b62b17c2.cab,0.0
cat__http_uri_/d/msdownload/update/others/2019/04/28706626_06979f425f8df434399e971ecd4599a892022c47.cab,0.0
cat__http_uri_/d/msdownload/update/software/defu/2019/02/updateplatform_23725566d66a26c81fbfaf79701b727f92a650ea.exe,0.0
cat__http_uri_/d/msdownload/update/software/defu/2019/04/am_delta_1e7c6825ff06eeddf3f92482523533378a79057f.exe,0.0
cat__http_uri_/d/msdownload/update/software/defu/2019/04/am_delta_patch_1.291.1079.0_817a44c86e5d4947eab69ca07870bd7de851acc9.exe,0.0
cat__http_uri_/d/msdownload/update/software/updt/2018/10/windows10.0-kb4462930-x64_d52b4bff2c86e2ffc0b40b2dce6b720836e1b646.cab,0.0
cat__http_uri_/dmr,0.0
cat__http_uri_/dvwa/login.php,0.0
cat__http_uri_/dvwa/vulnerabilities/sqli/,0.0
cat__http_uri_/icon_SML.png,0.0
cat__http_uri_/en-US/livetile/preinstall?region=US&appid=C98EA5B0842DBB9405BBF071E1DA76512D21FE36&FORM=Threshold,0.0
cat__http_uri_/filestreamingservice/files/0791715e-2de4-47f2-ba02-d980d28e51c3?P1=1554310793&P2=402&P3=2&P4=OpT40J12u6vnE3wqEWZys2198U3ldmYlyhpWrk2/97kYtZmIE1+2vtQ/7kYGMaPI5urUAJ7NZiZNtiNktgPvaA==,0.0
cat__http_uri_/filestreamingservice/files/1f41d40e-6e49-42f0-a4dc-3d35029e2a5d/pieceshash,0.0
cat__http_uri_/filestreamingservice/files/1f41d40e-6e49-42f0-a4dc-3d35029e2a5d?P1=1554315773&P2=402&P3=2&P4=D2MtshBIyXICLz+f8ls5Sa4mWcxA1B670oj1WRainhnd91v77n9XO6/xoc4QeEYZdwdKSG+6cFNvkBVYbJdXpw==,0.0
cat__http_uri_/filestreamingservice/files/846ab63f-c24f-4c71-bc98-6d8fa3f5e5d7/pieceshash,0.0
cat__http_uri_/filestreamingservice/files/846ab63f-c24f-4c71-bc98-6d8fa3f5e5d7?P1=1554310453&P2=402&P3=2&P4=l0mwXDvb5/y2rqu/g6TNhETQLS++OvWqWkMXYMSnMuqiHgfVXg9rPHQAr/I7U+Oo5I++LRwjHuFY5S5SbIij1g==,0.0
cat__http_uri_/fwlink/?LinkID=252669&clcid=0x409,0.0
cat__http_uri_/icon_LRG.jpg,0.0
cat__http_uri_/icon_LRG.png,0.0
cat__http_uri_/icon_SML.jpg,0.0
cat__http_user_agent_DonutP; Windows98SE,0.0
cat__http_user_agent_Microsoft BITS/7.8,0.0
cat__dns_query_windows.com,0.0
cat__weird_name_active_connection_reuse,0.0
cat__http_resp_mime_types_application/x-debian-package,0.0
cat__http_resp_mime_types_application/xml,0.0
cat__http_resp_mime_types_image/jpeg,0.0
cat__http_resp_mime_types_image/png,0.0
cat__http_resp_mime_types_text/html,0.0
cat__http_resp_mime_types_text/json,0.0
cat__http_resp_mime_types_text/plain,0.0
cat__weird_name_-,0.0
cat__weird_name_DNS_RR_unknown_type,0.0
cat__weird_name_above_hole_data_without_any_acks,0.0
cat__weird_name_bad_TCP_checksum,0.0
cat__http_resp_mime_types_application/ocsp-response,0.0
cat__weird_name_bad_UDP_checksum,0.0
cat__weird_name_connection_originator_SYN_ack,0.0
cat__weird_name_data_before_established,0.0
cat__weird_name_dnp3_corrupt_header_checksum,0.0
cat__weird_name_inappropriate_FIN,0.0
cat__weird_name_possible_split_routing,0.0
cat__weird_addl_-,0.0
