threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,fpr,pred_positive_rate
0.8,0.6801182997042508,0.8333090153021212,1.0,0.6666180306042423,0.7999649810131431,2314,0,18279,36550,0.0,0.6396234009414976
0.81,0.6799958000105,0.8332451804701891,1.0,0.6664903609403783,0.7998730464474894,2314,0,18286,36543,0.0,0.6395009012477468
0.82,0.6799608000979998,0.8332269419467799,1.0,0.66645388389356,0.799846776841414,2314,0,18288,36541,0.0,0.6394659013352466
0.83,0.6798733003167492,0.8331813456382571,1.0,0.6663626912765143,0.7997810977945603,2314,0,18293,36536,0.0,0.6393784015539962
0.84,0.679838300404249,0.833163107114848,1.0,0.666326214229696,0.7997548241629544,2314,0,18295,36534,0.0,0.639343401641496
0.85,0.6797158007104982,0.833099272282916,1.0,0.6661985445658319,0.7996628573930558,2314,0,18302,36527,0.0,0.6392209019477452
0.86,0.6795933010167474,0.833035437450984,1.0,0.6660708749019679,0.7995708765284787,2314,0,18309,36520,0.0,0.6390984022539944
0.87,0.6795408011479971,0.8330080796658703,1.0,0.6660161593317405,0.7995314518424452,2314,0,18312,36517,0.0,0.6390459023852441
0.88,0.6794183014542463,0.8329442448339383,1.0,0.6658884896678765,0.7994394508369919,2314,0,18319,36510,0.0,0.6389234026914933
0.89,0.6793658015854961,0.8329168870488246,1.0,0.6658337740976491,0.7994000175177367,2314,0,18322,36507,0.0,0.638870902822743
0.9,0.6792258019354952,0.832843932955188,1.0,0.6656878659103759,0.7992948493342676,2314,0,18330,36499,0.0,0.6387309031727421
0.91,0.6790858022854943,0.8327709788615514,1.0,0.6655419577231028,0.7991896627244853,2314,0,18338,36491,0.0,0.6385909035227412
0.92,0.6788408028979928,0.8326433091976874,1.0,0.6652866183953747,0.7990055418044816,2314,0,18352,36477,0.0,0.6383459041352396
0.93,0.6786483033792415,0.8325429973189371,1.0,0.6650859946378741,0.7988608357522318,2314,0,18363,36466,0.0,0.6381534046164885
0.94,0.6785083037292406,0.8324700432253005,1.0,0.664940086450601,0.7987555730826952,2314,0,18371,36458,0.0,0.6380134049664876
0.95,0.6782983042542393,0.8323606120848457,1.0,0.6647212241696913,0.7985976444809642,2314,0,18383,36446,0.0,0.6378034054914863
0.96,0.6780008049979875,0.8322055846358678,1.0,0.6644111692717357,0.798373841197484,2314,0,18400,36429,0.0,0.6375059062352344
0.97,0.6773708065729835,0.8318772912145033,1.0,0.6637545824290065,0.7978996294753459,2314,0,18436,36393,0.0,0.6368759078102305
0.98,0.6762508093729765,0.8312936584654107,1.0,0.6625873169308213,0.7970556615985432,2314,0,18500,36329,0.0,0.6357559106102235
0.99,0.6731708170729573,0.8296886684054059,1.0,0.6593773368108118,0.7947286276406322,2314,0,18676,36153,0.0,0.6326759183102042
1.0,0.6552158619603451,0.8203323058965146,1.0,0.6406646117930292,0.7809818133309618,2314,0,19702,35127,0.0,0.614720963197592
