campaign_id,nodes,edges,cyber_nodes,video_nodes,hub_nodes,mean_score,max_score
478,1,0,0,0,1,0.04283142939443693,0.04283142939443693
421,1,0,0,0,1,0.042670298746369885,0.042670298746369885
2402,1,0,0,0,1,0.04265558537008807,0.04265558537008807
1531,1,0,0,0,1,0.042615768539431914,0.042615768539431914
1869,1,0,0,0,1,0.04211315385079414,0.04211315385079414
2448,1,0,0,0,1,0.04206172711724421,0.04206172711724421
1194,1,0,0,0,1,0.042045276968691446,0.042045276968691446
2453,1,0,0,0,1,0.042015785574066926,0.042015785574066926
666,1,0,0,0,1,0.041822370012934165,0.041822370012934165
502,1,0,0,0,1,0.041673990088840096,0.041673990088840096
2231,1,0,0,0,1,0.041488838037242584,0.041488838037242584
1542,1,0,0,0,1,0.04134137211257038,0.04134137211257038
1065,1,0,0,0,1,0.041246629260806564,0.041246629260806564
80,1,0,0,0,1,0.0412415844290303,0.0412415844290303
197,1,0,0,0,1,0.04118431853978321,0.04118431853978321
1617,1,0,0,0,1,0.04114896940436073,0.04114896940436073
1388,1,0,0,0,1,0.04090107506336292,0.04090107506336292
238,1,0,0,0,1,0.0408287871427194,0.0408287871427194
318,1,0,0,0,1,0.04076881465086838,0.04076881465086838
1269,1,0,0,0,1,0.04065738428969545,0.04065738428969545
2662,1,0,0,0,1,0.04024701464696197,0.04024701464696197
167,1,0,0,0,1,0.040229709633053785,0.040229709633053785
701,1,0,0,0,1,0.0399999951057428,0.0399999951057428
408,1,0,0,0,1,0.039999987841110966,0.039999987841110966
2255,1,0,0,0,1,0.03999997871071639,0.03999997871071639
2612,1,0,0,0,1,0.03999995919381929,0.03999995919381929
1281,1,0,0,0,1,0.03999992652210447,0.03999992652210447
525,1,0,0,0,1,0.03999979419779792,0.03999979419779792
982,1,0,0,0,1,0.03999971173658916,0.03999971173658916
1285,1,0,0,0,1,0.0399995292213905,0.0399995292213905
1315,1,0,0,0,1,0.039999441432202396,0.039999441432202396
1237,1,0,0,0,1,0.03999936905581919,0.03999936905581919
1005,1,0,0,0,1,0.03999928868219013,0.03999928868219013
1361,1,0,0,0,1,0.039999206108083496,0.039999206108083496
1485,1,0,0,0,1,0.03999917972363323,0.03999917972363323
1292,1,0,0,0,1,0.039998737513520524,0.039998737513520524
2284,1,0,0,0,1,0.039998511310057876,0.039998511310057876
1754,1,0,0,0,1,0.03999846931656027,0.03999846931656027
1823,1,0,0,0,1,0.039998387410429964,0.039998387410429964
1257,1,0,0,0,1,0.03999822364484858,0.03999822364484858
2543,1,0,0,0,1,0.03999775740873642,0.03999775740873642
877,1,0,0,0,1,0.03999739228065697,0.03999739228065697
213,1,0,0,0,1,0.0399971743603022,0.0399971743603022
840,1,0,0,0,1,0.03999695210911202,0.03999695210911202
1920,1,0,0,0,1,0.039996915382932936,0.039996915382932936
1366,1,0,0,0,1,0.039996628241357995,0.039996628241357995
391,1,0,0,0,1,0.039996526561166396,0.039996526561166396
194,1,0,0,0,1,0.03999631822841836,0.03999631822841836
1892,1,0,0,0,1,0.03999595745211013,0.03999595745211013
2251,1,0,0,0,1,0.039995770438805985,0.039995770438805985
794,1,0,0,0,1,0.03999570505234335,0.03999570505234335
1723,1,0,0,0,1,0.039995693187703296,0.039995693187703296
324,1,0,0,0,1,0.039995461466572166,0.039995461466572166
1155,1,0,0,0,1,0.03999379873891061,0.03999379873891061
1188,1,0,0,0,1,0.0399936564584773,0.0399936564584773
157,1,0,0,0,1,0.03999363746300971,0.03999363746300971
352,1,0,0,0,1,0.039993493244791206,0.039993493244791206
1765,1,0,0,0,1,0.03999315272299647,0.03999315272299647
2300,1,0,0,0,1,0.03999279273165077,0.03999279273165077
2200,1,0,0,0,1,0.03999273142409919,0.03999273142409919
2007,1,0,0,0,1,0.039992354090968255,0.039992354090968255
1360,1,0,0,0,1,0.0399918224749254,0.0399918224749254
223,1,0,0,0,1,0.03999149273572225,0.03999149273572225
1191,1,0,0,0,1,0.039991272813637006,0.039991272813637006
1284,1,0,0,0,1,0.039991009176967254,0.039991009176967254
1007,1,0,0,0,1,0.03999089995179975,0.03999089995179975
789,1,0,0,0,1,0.039989805510348725,0.039989805510348725
1756,1,0,0,0,1,0.03998933363242964,0.03998933363242964
153,1,0,0,0,1,0.039989180040516846,0.039989180040516846
1898,1,0,0,0,1,0.03998800833830182,0.03998800833830182
284,1,0,0,0,1,0.039987739942439565,0.039987739942439565
